Date;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet;Nombre de circulations prévues;Nombre de trains annulés;Commentaire annulations;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ;Retard moyen de tous les trains au départ;Commentaire retards au départ;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée;Retard moyen de tous les trains à l'arrivée;Commentaire retards à l'arrivée;Nombre trains en retard > 15min;Retard moyen trains en retard > 15 (si liaison concurrencée par vol);Nombre trains en retard > 30min;Nombre trains en retard > 60min;Prct retard pour causes externes;Prct retard pour cause infrastructure;Prct retard pour cause gestion trafic;Prct retard pour cause matériel roulant;Prct retard pour cause gestion en gare et réutilisation de matériel;Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)
2019-09;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;267;187;0;;83;13.651405622489953;5.758556149732621;;23;35.3963768115942;5.399108734402849;;23;35.3963768115942;7;4;52.17391304347826;21.73913043478261;17.391304347826086;8.695652173913043;0.0;0.0
2019-10;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;263;182;5;;102;11.360620915032682;6.317231638418078;;43;43.29612403100775;12.46949152542373;;43;43.29612403100775;18;10;33.33333333333333;35.71428571428571;7.142857142857142;19.04761904761905;2.3809523809523814;2.3809523809523814
2019-11;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;262;153;3;;89;15.793632958801497;9.159;;39;59.67222222222223;18.161;;39;59.67222222222223;24;10;47.222222222222214;22.22222222222222;8.333333333333332;19.444444444444443;0.0;2.7777777777777777
2019-12;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;265;77;12;;44;13.849621212121209;9.226666666666668;;17;81.42941176470588;21.671794871794866;;17;81.42941176470588;12;6;50.0;43.75;0.0;6.25;0.0;0.0
2020-01;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;269;131;7;;71;17.234037558685458;9.640725806451611;;21;71.48730158730157;15.424193548387096;;21;71.48730158730157;9;5;19.047619047619044;71.42857142857142;4.761904761904761;4.761904761904761;0.0;0.0
2020-02;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;271;168;2;;95;4.343859649122808;2.2777108433734954;;23;45.4572463768116;6.530823293172693;;23;45.4572463768116;14;4;34.782608695652165;34.782608695652165;4.347826086956521;21.739130434782606;0.0;4.347826086956521
2020-03;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;271;94;9;;44;13.99772727272727;6.959411764705879;;9;35.711111111111116;6.875490196078433;;9;43.303333333333335;6;3;44.44444444444444;33.33333333333333;0.0;22.22222222222222;0.0;0.0
2020-04;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;264;35;9;;20;1.9566666666666663;1.4346153846153842;;16;21.34479166666667;17.173717948717954;;16;21.344791666666666;2;0;6.25;93.75;0.0;0.0;0.0;0.0
2020-05;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;274;75;9;;40;2.733333333333332;1.5368686868686863;;5;20.683333333333334;-0.8540404040404043;;5;20.683333333333334;0;0;20.0;40.0;0.0;40.0;0.0;0.0
2020-06;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;276;161;3;;89;1.9734082397003745;0.891772151898734;;8;41.56875;-0.6068565400843879;;8;41.56875;5;1;40.0;60.0;0.0;0.0;0.0;0.0
